Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
North Norfolk,1311.67,1530.29,1748.90,1967.51,2404.73,2841.96,3279.18,3935.02,,,,,,,,,
Norwich,1350.46,1575.54,1800.61,2025.69,2475.84,2926.00,3376.15,4051.38,,,,,,,,,
South Norfolk,1329.65,1551.26,1772.87,1994.48,2437.70,2880.92,3324.13,3988.96,,,,,,,,,
,,,,,,,,,,,,,,,,,
NORTH YORKSHIRE,,,,,,,,,,,,,,,,,
Craven,1335.23,1557.76,1780.30,2002.84,2447.92,2892.99,3338.07,4005.68,,,,,,,,,
Hambleton,1275.77,1488.39,1701.02,1913.65,2338.91,2764.16,3189.42,3827.30,,,,,,,,,
Harrogate,1350.23,1575.26,1800.30,2025.34,2475.42,2925.49,3375.57,4050.68,,,,,,,,,
Richmondshire,1343.93,1567.91,1791.90,2015.89,2463.87,2911.84,3359.82,4031.78,,,,,,,,,
Ryedale,1342.42,1566.16,1789.89,2013.63,2461.10,2908.58,3356.05,4027.26,,,,,,,,,
Scarborough,1347.62,1572.22,1796.83,2021.43,2470.64,2919.84,3369.05,4042.86,,,,,,,,,
Selby,1336.67,1559.45,1782.23,2005.01,2450.57,2896.13,3341.68,4010.02,,,,,,,,,
,,,,,,,,,,,,,,,,,
NOTTINGHAMSHIRE,,,,,,,,,,,,,,,,,
Ashfield,1404.73,1638.85,1872.97,2107.09,2575.33,3043.57,3511.82,4214.18,,,,,,,,,
Bassetlaw,1419.24,1655.78,1892.32,2128.86,2601.94,3075.02,3548.10,4257.72,,,,,,,,,
Broxtowe,1404.89,1639.04,1873.19,2107.34,2575.64,3043.94,3512.23,4214.68,,,,,,,,,
Gedling,1400.81,1634.28,1867.75,2101.22,2568.16,3035.10,3502.03,4202.44,,,,,,,,,
Mansfield,1404.22,1638.26,1872.29,2106.33,2574.40,3042.48,3510.55,4212.66,,,,,,,,,
Newark & Sherwood,1447.35,1688.57,1929.80,2171.02,2653.47,3135.92,3618.37,4342.04,,,,,,,,,
Rushcliffe,1416.26,1652.30,1888.35,2124.39,2596.48,3068.56,3540.65,4248.78,,,,,,,,,
,,,,,,,,,,,,,,,,,
OXFORDSHIRE,,,,,,,,,,,,,,,,,
Cherwell,1360.60,1587.37,1814.13,2040.90,2494.43,2947.97,3401.50,4081.80,,,,,,,,,
Oxford,1420.43,1657.16,1893.90,2130.64,2604.12,3077.59,3551.07,4261.28,,,,,,,,,
South Oxfordshire,1356.66,1582.77,1808.88,2034.99,2487.21,2939.43,3391.65,4069.98,,,,,,,,,
Vale of White Horse,1352.49,1577.90,1803.32,2028.73,2479.56,2930.39,3381.22,4057.46,,,,,,,,,
West Oxfordshire,1336.59,1559.36,1782.12,2004.89,2450.42,2895.95,3341.48,4009.78,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOMERSET,,,,,,,,,,,,,,,,,
Mendip,1316.10,1535.45,1754.80,1974.15,2412.85,2851.55,3290.25,3948.30,,,,,,,,,
Sedgemoor,1285.46,1499.70,1713.95,1928.19,2356.68,2785.16,3213.65,3856.38,,,,,,,,,
Somerset West & Taunton,1266.47,1477.55,1688.63,1899.71,2321.87,2744.03,3166.18,3799.42,,,,,,,,,
South Somerset,1308.00,1526.00,1744.00,1962.00,2398.00,2834.00,3270.00,3924.00,,,,,,,,,
,,,,,,,,,,,,,,,,,
STAFFORDSHIRE,,,,,,,,,,,,,,,,,
Cannock Chase,1287.21,1501.74,1716.28,1930.81,2359.88,2788.95,3218.02,3861.62,,,,,,,,,
East Staffordshire,1269.45,1481.03,1692.60,1904.18,2327.33,2750.48,3173.63,3808.36,,,,,,,,,
Lichfield,1277.07,1489.92,1702.76,1915.61,2341.30,2766.99,3192.68,3831.22,,,,,,,,,
Newcastle-under-Lyme,1266.85,1478.00,1689.14,1900.28,2322.56,2744.85,3167.13,3800.56,,,,,,,,,
South Staffordshire,1242.55,1449.65,1656.74,1863.83,2278.01,2692.20,3106.38,3727.66,,,,,,,,,
Stafford,1243.79,1451.08,1658.38,1865.68,2280.28,2694.87,3109.47,3731.36,,,,,,,,,
Staffordshire Moorlands,1260.26,1470.30,1680.35,1890.39,2310.48,2730.56,3150.65,3780.78,,,,,,,,,
Tamworth,1243.24,1450.45,1657.65,1864.86,2279.27,2693.69,3108.10,3729.72,,,,,,,,,
Babergh,1264.48,1475.23,1685.97,1896.72,2318.21,2739.71,3161.20,3793.44,,,,,,,,,
East Suffolk,1252.91,1461.73,1670.55,1879.37,2297.01,2714.65,3132.28,3758.74,,,,,,,,,
Ipswich,1341.06,1564.57,1788.08,2011.59,2458.61,2905.63,3352.65,4023.18,,,,,,,,,
Mid Suffolk,1256.67,1466.12,1675.56,1885.01,2303.90,2722.79,3141.68,3770.02,,,,,,,,,
West Suffolk,1263.81,1474.45,1685.08,1895.72,2316.99,2738.26,3159.53,3791.44,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,,,,,,,,,,,
Elmbridge,1377.81,1607.44,1837.08,2066.71,2525.98,2985.25,3444.52,4133.42,,,,,,,,,
Epsom & Ewell,1361.94,1588.93,1815.92,2042.91,2496.89,2950.87,3404.85,4085.82,,,,,,,,,
Guildford,1366.89,1594.70,1822.52,2050.33,2505.96,2961.59,3417.22,4100.66,,,,,,,,,
Mole Valley,1354.41,1580.15,1805.88,2031.62,2483.09,2934.56,3386.03,4063.24,,,,,,,,,
Reigate & Banstead,1386.57,1617.66,1848.76,2079.85,2542.04,3004.23,3466.42,4159.70,,,,,,,,,
Runnymede,1339.49,1562.74,1785.99,2009.24,2455.74,2902.24,3348.73,4018.48,,,,,,,,,
Spelthorne,1359.80,1586.43,1813.07,2039.70,2492.97,2946.23,3399.50,4079.40,,,,,,,,,
Surrey Heath,1389.13,1620.66,1852.18,2083.70,2546.74,3009.79,3472.83,4167.40,,,,,,,,,
Tandridge,1391.67,1623.61,1855.56,2087.50,2551.39,3015.28,3479.17,4175.00,,,,,,,,,
Waverley,1394.30,1626.68,1859.07,2091.45,2556.22,3020.98,3485.75,4182.90,,,,,,,,,
Woking,1390.07,1621.75,1853.43,2085.11,2548.47,3011.83,3475.18,4170.22,,,,,,,,,
,,,,,,,,,,,,,,,,,
WARWICKSHIRE,,,,,,,,,,,,,,,,,
North Warwickshire,1370.42,1598.82,1827.23,2055.63,2512.44,2969.24,3426.05,4111.26,,,,,,,,,
Nuneaton & Bedworth,1353.42,1578.99,1804.56,2030.13,2481.27,2932.41,3383.55,4060.26,,,,,,,,,
Rugby,1339.55,1562.81,1786.07,2009.33,2455.85,2902.37,3348.88,4018.66,,,,,,,,,
Stratford-on-Avon,1333.84,1556.15,1778.45,2000.76,2445.37,2889.99,3334.60,4001.52,,,,,,,,,
Warwick,1330.79,1552.58,1774.38,1996.18,2439.78,2883.37,3326.97,3992.36,,,,,,,,,
,,,,,,,,,,,,,,,,,
WEST SUSSEX,,,,,,,,,,,,,,,,,
Adur,1371.56,1600.15,1828.75,2057.34,2514.53,2971.71,3428.90,4114.68,,,,,,,,,
Arun,1329.91,1551.56,1773.21,1994.86,2438.16,2881.46,3324.77,3989.72,,,,,,,,,
Chichester,1310.31,1528.69,1747.08,1965.46,2402.23,2839.00,3275.77,3930.92,,,,,,,,,
Crawley,1292.87,1508.35,1723.83,1939.31,2370.27,2801.23,3232.18,3878.62,,,,,,,,,
Horsham,1300.21,1516.91,1733.61,1950.31,2383.71,2817.11,3250.52,3900.62,,,,,,,,,
Mid Sussex,1317.29,1536.84,1756.39,1975.94,2415.04,2854.14,3293.23,3951.88,,,,,,,,,
Worthing,1315.25,1534.46,1753.67,1972.88,2411.30,2849.72,3288.13,3945.76,,,,,,,,,
,,,,,,,,,,,,,,,,,
WORCESTERSHIRE,,,,,,,,,,,,,,,,,
Bromsgrove,1288.67,1503.44,1718.22,1933.00,2362.56,2792.11,3221.67,3866.00,,,,,,,,,
Malvern Hills,1275.46,1488.04,1700.61,1913.19,2338.34,2763.50,3188.65,3826.38,,,,,,,,,
Redditch,1280.82,1494.29,1707.76,1921.23,2348.17,2775.11,3202.05,3842.46,,,,,,,,,
Worcester,1248.15,1456.17,1664.20,1872.22,2288.27,2704.32,3120.37,3744.44,,,,,,,,,
Wychavon,1229.27,1434.15,1639.03,1843.91,2253.67,2663.43,3073.18,3687.82,,,,,,,,,
Wyre Forest,1292.80,1508.27,1723.73,1939.20,2370.13,2801.07,3232.00,3878.40,,,,,,,,,
INNER LONDON,,,,,,,,,,,,,,,,,
City of London,699.63,816.23,932.84,1049.44,1282.65,1515.86,1749.07,2098.88,,,,,,,,,
Camden,1146.51,1337.60,1528.68,1719.77,2101.94,2484.11,2866.28,3439.54,,,,,,,,,
Greenwich,1093.43,1275.66,1457.90,1640.14,2004.62,2369.09,2733.57,3280.28,,,,,,,,,
Hackney,1068.09,1246.10,1424.12,1602.13,1958.16,2314.19,2670.22,3204.26,,,,,,,,,
