Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
Wirral,1327.49,1548.74,1769.99,1991.24,2433.74,2876.24,3318.73,3982.48,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOUTH YORKSHIRE,,,,,,,,,,,,,,,,,
Barnsley,1254.57,1463.66,1672.76,1881.85,2300.04,2718.23,3136.42,3763.70,,,,,,,,,
Doncaster,1176.95,1373.10,1569.26,1765.42,2157.74,2550.05,2942.37,3530.84,,,,,,,,,
Rotherham,1299.31,1515.86,1732.41,1948.96,2382.06,2815.16,3248.27,3897.92,,,,,,,,,
Sheffield,1330.69,1552.48,1774.26,1996.04,2439.60,2883.17,3326.73,3992.08,,,,,,,,,
,,,,,,,,,,,,,,,,,
TYNE AND WEAR,,,,,,,,,,,,,,,,,
Gateshead,1429.75,1668.05,1906.34,2144.63,2621.21,3097.80,3574.38,4289.26,,,,,,,,,
Newcastle-upon-Tyne,1349.03,1573.86,1798.70,2023.54,2473.22,2922.89,3372.57,4047.08,,,,,,,,,
North Tyneside,1294.31,1510.02,1725.74,1941.46,2372.90,2804.33,3235.77,3882.92,,,,,,,,,
South Tyneside,1281.91,1495.56,1709.21,1922.86,2350.16,2777.46,3204.77,3845.72,,,,,,,,,
Sunderland,1182.47,1379.55,1576.63,1773.71,2167.87,2562.03,2956.18,3547.42,,,,,,,,,
,,,,,,,,,,,,,,,,,
WEST MIDLANDS,,,,,,,,,,,,,,,,,
Birmingham,1170.36,1365.42,1560.48,1755.54,2145.66,2535.78,2925.90,3511.08,,,,,,,,,
Coventry,1339.31,1562.53,1785.75,2008.97,2455.41,2901.85,3348.28,4017.94,,,,,,,,,
Dudley,1127.40,1315.30,1503.20,1691.10,2066.90,2442.70,2818.50,3382.20,,,,,,,,,
Sandwell,1161.05,1354.55,1548.06,1741.57,2128.59,2515.60,2902.62,3483.14,,,,,,,,,
Solihull,1146.73,1337.85,1528.97,1720.09,2102.33,2484.57,2866.82,3440.18,,,,,,,,,
Walsall,1408.31,1643.02,1877.74,2112.46,2581.90,3051.33,3520.77,4224.92,,,,,,,,,
Wolverhampton,1337.39,1560.28,1783.18,2006.08,2451.88,2897.67,3343.47,4012.16,,,,,,,,,
,,,,,,,,,,,,,,,,,
WEST YORKSHIRE,,,,,,,,,,,,,,,,,
Bradford,1197.46,1397.04,1596.61,1796.19,2195.34,2594.50,2993.65,3592.38,,,,,,,,,
Calderdale,1277.63,1490.57,1703.51,1916.45,2342.33,2768.21,3194.08,3832.90,,,,,,,,,
Kirklees,1288.33,1503.05,1717.77,1932.49,2361.93,2791.37,3220.82,3864.98,,,,,,,,,
Leeds,1205.85,1406.82,1607.80,1808.77,2210.72,2612.67,3014.62,3617.54,,,,,,,,,
Wakefield,1205.61,1406.55,1607.48,1808.42,2210.29,2612.16,3014.03,3616.84,,,,,,,,,
