Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200301,S92000003,Female,,0 to 59,,0,0,0,0,0,0,337,16.53062015
20200301,S92000003,Female,,15 to 19,,0,0,0,0,0,0,9,6.525853255
20200301,S92000003,Female,,20 to 24,,0,0,0,0,0,0,44,26.12004535
20200301,S92000003,Female,,25 to 44,,0,0,0,0,0,0,125,17.29232608
20200301,S92000003,Female,,45 to 64,,0,0,0,0,0,0,142,18.38973283
20200301,S92000003,Female,,60+,,1,1,0.131208284,0,0,0,80,10.49666272
20200301,S92000003,Female,,65 to 74,,1,1,0.326985456,0,0,0,35,11.44449095
20200301,S92000003,Female,,75 to 84,,0,0,0,0,0,0,7,3.645263761
20200301,S92000003,Female,,85plus,,0,0,0,0,0,0,5,6.066120716
20200301,S92000003,Female,,Total,d,1,1,0.035704238,0,0,0,417,14.88866705
20200301,S92000003,Male,,0 to 14,,0,0,0,0,0,0,76,17.24603511
20200301,S92000003,Male,,0 to 59,,1,3,0.148609756,0,0,0,366,18.1303902
20200301,S92000003,Male,,15 to 19,,0,0,0,0,0,0,10,6.934476135
20200301,S92000003,Male,,20 to 24,,0,0,0,0,0,0,21,12.1175751
20200301,S92000003,Male,,25 to 44,,0,0,0,0,0,0,135,19.05592703
20200301,S92000003,Male,,45 to 64,,1,3,0.415064058,0,0,0,149,20.61484822
20200301,S92000003,Male,,60+,,0,0,0,0,0,0,73,11.29153506
20200301,S92000003,Male,,65 to 74,,0,0,0,0,0,0,39,13.9067676
20200301,S92000003,Male,,75 to 84,,0,0,0,0,0,0,7,4.683026038
20200301,S92000003,Male,,85plus,,0,0,0,0,0,0,2,4.358627904
20200301,S92000003,Male,,Total,d,1,3,0.112561402,0,0,0,439,16.4714852
20200301,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,126,14.65474127
20200301,S92000003,Total,d,0 to 59,,1,3,0.073939869,0,0,0,705,17.37586913
20200301,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,19,6.734722813
20200301,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,66,19.31208029
20200301,S92000003,Total,d,25 to 44,,0,0,0,0,0,0,261,18.23510712
20200301,S92000003,Total,d,45 to 64,,1,3,0.200675608,0,0,0,291,19.46553396
20200301,S92000003,Total,d,60+,,1,1,0.070990005,0,0,0,153,10.86147081
20200301,S92000003,Total,d,65 to 74,,1,1,0.170571911,0,0,0,74,12.62232138
20200301,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,14,4.099488735
20200301,S92000003,Total,d,85plus,,0,0,0,0,0,0,7,5.455494852
20200301,S92000003,Total,d,Total,d,2,4,0.073179656,0,0,0,858,15.69703622
20200302,S92000003,Female,,0 to 14,,0,0,0,0,0,0,76,18.13370746
20200302,S92000003,Female,,0 to 59,,0,0,0,0,0,0,414,20.30764612
20200302,S92000003,Female,,15 to 19,,0,0,0,0,0,0,10,7.250948061
20200302,S92000003,Female,,20 to 24,,0,0,0,0,0,0,51,30.27550711
20200302,S92000003,Female,,25 to 44,,0,0,0,0,0,0,146,20.19743686
20200302,S92000003,Female,,45 to 64,,0,0,0,0,0,0,170,22.01587733
20200302,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,103,13.51445325
20200302,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,45,14.71434551
20200302,S92000003,Female,,75 to 84,,0,0,0,0,0,0,11,5.728271624
20200302,S92000003,Female,,85plus,,0,0,0,0,0,0,8,9.705793145
20200302,S92000003,Female,,Total,d,0,1,0.035704238,0,0,0,517,18.4590908
20200302,S92000003,Male,,0 to 14,,0,0,0,0,0,0,99,22.46522995
20200302,S92000003,Male,,0 to 59,,1,4,0.198146341,0,0,0,445,22.04378043
20200302,S92000003,Male,,15 to 19,,0,0,0,0,0,0,12,8.321371362
20200302,S92000003,Male,,20 to 24,,0,0,0,0,0,0,23,13.27162987
20200302,S92000003,Male,,25 to 44,,1,1,0.141155015,0,0,0,159,22.44364739
20200302,S92000003,Male,,45 to 64,,0,3,0.415064058,0,0,0,183,25.31890755
