areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate,cumPeopleVaccinatedCompleteByPublishDate_adj,cumPeopleVaccinatedFirstDoseByPublishDate_adj,cumVaccinationFirstDoseUptakeByPublishDatePercentage_adj,cumVaccinationSecondDoseUptakeByPublishDatePercentage_adj,cumVaccinesGivenByPublishDate_adj
N92000002,Northern Ireland,nation,2021-05-06,473502,963315,66.3,32.6,1436817,33.62395862033705,68.40618138540066,0.004708044435986218,0.0023149660424306292,102.0301400057377
N92000002,Northern Ireland,nation,2021-05-05,459763,957063,65.9,31.6,1416826,32.6483353547863,67.96221918609771,0.0046796399446680514,0.0022439548141352113,100.61055454088401
N92000002,Northern Ireland,nation,2021-05-04,446309,950778,65.4,30.7,1397087,31.69295028929974,67.515913616261,0.004644134330520342,0.002180044708669335,99.20886390556075
N92000002,Northern Ireland,nation,2021-05-03,436887,944694,65.0,30.1,1381581,31.023882496300313,67.08388130331167,0.004615729839202175,0.0021374379716920843,98.10776379961199
N92000002,Northern Ireland,nation,2021-05-02,431873,943022,64.9,29.7,1374895,30.66783219762709,66.96515052960173,0.004608628716372633,0.0021090334803739166,97.63298272722884
N92000002,Northern Ireland,nation,2021-05-01,426876,937782,64.5,29.4,1364658,30.312989089834886,66.59305169333375,0.0045802242250544654,0.0020877301118852913,96.90604078316863
N92000002,Northern Ireland,nation,2021-04-30,422234,932426,64.2,29.1,1354660,29.983354968087557,66.2127155545835,0.00455892085656584,0.002066426743396666,96.19607052267104
N92000002,Northern Ireland,nation,2021-04-29,417537,927326,63.8,28.7,1344863,29.649815228783975,65.85055829027687,0.004530516365247673,0.0020380222520784987,95.50037351906083
N92000002,Northern Ireland,nation,2021-04-28,377302,935589,64.4,26.0,1312891,26.79267845831783,66.4373240696819,0.004573123102224924,0.00184629193568087,93.23000252799972
N92000002,Northern Ireland,nation,2021-04-27,367469,927656,63.8,25.3,1295125,26.094425050488983,65.87399199561435,0.004530516365247673,0.0017965840758740774,91.96841704610334
N92000002,Northern Ireland,nation,2021-04-26,356403,919292,63.3,24.5,1275695,25.308614798171885,65.28005408215148,0.004495010751099963,0.0017397750932377427,90.58866888032335
