areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2021-05-03,123,-15.6,1.2
K02000001,United Kingdom,overview,2021-05-02,119,-18.4,1.2
K02000001,United Kingdom,overview,2021-05-01,99,-16.8,1.3
K02000001,United Kingdom,overview,2021-04-30,110,-16.4,1.3
K02000001,United Kingdom,overview,2021-04-29,100,-12.3,1.4
K02000001,United Kingdom,overview,2021-04-28,108,-13.9,1.4
K02000001,United Kingdom,overview,2021-04-27,166,-10.2,1.5
K02000001,United Kingdom,overview,2021-04-26,132,-16.6,1.5
K02000001,United Kingdom,overview,2021-04-25,138,-14.8,1.5
K02000001,United Kingdom,overview,2021-04-24,128,-18.7,1.5
K02000001,United Kingdom,overview,2021-04-23,155,-17.9,1.6
K02000001,United Kingdom,overview,2021-04-22,119,-20.6,1.6
K02000001,United Kingdom,overview,2021-04-21,171,-20.2,1.6
K02000001,United Kingdom,overview,2021-04-20,134,-20.6,1.7
K02000001,United Kingdom,overview,2021-04-19,177,-19.7,1.8
K02000001,United Kingdom,overview,2021-04-18,141,-19.4,1.8
K02000001,United Kingdom,overview,2021-04-17,158,-15.0,1.9
K02000001,United Kingdom,overview,2021-04-16,157,-15.5,1.9
K02000001,United Kingdom,overview,2021-04-15,161,-14.3,2.0
K02000001,United Kingdom,overview,2021-04-14,196,-13.0,2.1
K02000001,United Kingdom,overview,2021-04-13,181,-12.4,2.1
K02000001,United Kingdom,overview,2021-04-12,205,-11.6,2.2
K02000001,United Kingdom,overview,2021-04-11,202,-10.7,2.2
K02000001,United Kingdom,overview,2021-04-10,183,-14.8,2.2
K02000001,United Kingdom,overview,2021-04-09,204,-14.9,2.3
K02000001,United Kingdom,overview,2021-04-08,206,-16.0,2.3
K02000001,United Kingdom,overview,2021-04-07,235,-19.0,2.4
K02000001,United Kingdom,overview,2021-04-06,223,-20.5,2.4
K02000001,United Kingdom,overview,2021-04-05,234,-23.0,2.5
K02000001,United Kingdom,overview,2021-04-04,197,-26.1,2.5
K02000001,United Kingdom,overview,2021-04-03,222,-25.5,2.6
K02000001,United Kingdom,overview,2021-04-02,237,-26.5,2.7
K02000001,United Kingdom,overview,2021-04-01,234,-26.5,2.8
K02000001,United Kingdom,overview,2021-03-31,269,-25.6,2.9
K02000001,United Kingdom,overview,2021-03-30,256,-25.4,3.0
K02000001,United Kingdom,overview,2021-03-29,250,-23.4,3.2
K02000001,United Kingdom,overview,2021-03-28,272,-23.3,3.4
K02000001,United Kingdom,overview,2021-03-27,270,-22.2,3.5
K02000001,United Kingdom,overview,2021-03-26,298,-21.6,3.6
K02000001,United Kingdom,overview,2021-03-25,338,-21.5,3.8
K02000001,United Kingdom,overview,2021-03-24,348,-20.5,3.9
K02000001,United Kingdom,overview,2021-03-23,366,-20.4,4.1
K02000001,United Kingdom,overview,2021-03-22,360,-21.5,4.2
K02000001,United Kingdom,overview,2021-03-21,357,-19.3,4.4
K02000001,United Kingdom,overview,2021-03-20,364,-19.8,4.5
K02000001,United Kingdom,overview,2021-03-19,381,-21.0,4.6
K02000001,United Kingdom,overview,2021-03-18,449,-20.8,4.8
K02000001,United Kingdom,overview,2021-03-17,446,-21.3,4.9
K02000001,United Kingdom,overview,2021-03-16,440,-21.2,5.1
K02000001,United Kingdom,overview,2021-03-15,500,-22.5,5.3
K02000001,United Kingdom,overview,2021-03-14,425,-24.9,5.4
K02000001,United Kingdom,overview,2021-03-13,461,-26.2,5.6
K02000001,United Kingdom,overview,2021-03-12,480,-24.2,5.9
K02000001,United Kingdom,overview,2021-03-11,550,-25.7,6.1
K02000001,United Kingdom,overview,2021-03-10,567,-26.5,6.3
K02000001,United Kingdom,overview,2021-03-09,579,-27.8,6.5
K02000001,United Kingdom,overview,2021-03-08,576,-27.0,6.9
K02000001,United Kingdom,overview,2021-03-07,536,-26.6,7.3
K02000001,United Kingdom,overview,2021-03-06,637,-27.3,7.6
K02000001,United Kingdom,overview,2021-03-05,599,-29.3,7.8
K02000001,United Kingdom,overview,2021-03-04,703,-29.6,8.2
K02000001,United Kingdom,overview,2021-03-03,714,-29.6,8.5
K02000001,United Kingdom,overview,2021-03-02,834,-29.2,9.0
K02000001,United Kingdom,overview,2021-03-01,821,-28.9,9.4
K02000001,United Kingdom,overview,2021-02-28,769,-28.7,9.9
K02000001,United Kingdom,overview,2021-02-27,741,-27.5,10.5
K02000001,United Kingdom,overview,2021-02-26,863,-26.5,11.0
K02000001,United Kingdom,overview,2021-02-25,968,-24.2,11.6
K02000001,United Kingdom,overview,2021-02-24,1020,-23.1,12.1
K02000001,United Kingdom,overview,2021-02-23,1119,-21.8,12.7
K02000001,United Kingdom,overview,2021-02-22,1118,-20.3,13.3
K02000001,United Kingdom,overview,2021-02-21,1155,-19.9,13.8
K02000001,United Kingdom,overview,2021-02-20,1087,-18.8,14.4
K02000001,United Kingdom,overview,2021-02-19,1271,-19.1,14.9
K02000001,United Kingdom,overview,2021-02-18,1336,-20.4,15.3
K02000001,United Kingdom,overview,2021-02-17,1408,-20.6,15.8
K02000001,United Kingdom,overview,2021-02-16,1492,-21.9,16.3
K02000001,United Kingdom,overview,2021-02-15,1502,-24.0,16.7
K02000001,United Kingdom,overview,2021-02-14,1534,-24.7,17.3
K02000001,United Kingdom,overview,2021-02-13,1426,-25.3,17.8
K02000001,United Kingdom,overview,2021-02-12,1507,-25.1,18.4
K02000001,United Kingdom,overview,2021-02-11,1678,-25.2,19.2
K02000001,United Kingdom,overview,2021-02-10,1725,-26.4,19.9
K02000001,United Kingdom,overview,2021-02-09,1753,-25.7,20.8
K02000001,United Kingdom,overview,2021-02-08,1920,-24.5,21.9
K02000001,United Kingdom,overview,2021-02-07,1849,-22.3,22.9
K02000001,United Kingdom,overview,2021-02-06,1891,-22.3,23.8
K02000001,United Kingdom,overview,2021-02-05,2004,-21.9,24.6
K02000001,United Kingdom,overview,2021-02-04,2142,-21.3,25.7
K02000001,United Kingdom,overview,2021-02-03,2358,-19.4,27.0
K02000001,United Kingdom,overview,2021-02-02,2479,-19.8,28.1
K02000001,United Kingdom,overview,2021-02-01,2600,-20.4,29.0
K02000001,United Kingdom,overview,2021-01-31,2403,-22.6,29.5
K02000001,United Kingdom,overview,2021-01-30,2472,-21.8,30.6
K02000001,United Kingdom,overview,2021-01-29,2685,-21.9,31.6
K02000001,United Kingdom,overview,2021-01-28,3041,-20.1,32.6
K02000001,United Kingdom,overview,2021-01-27,3057,-19.3,33.5
K02000001,United Kingdom,overview,2021-01-26,3145,-16.3,35.0
K02000001,United Kingdom,overview,2021-01-25,2930,-13.9,36.5
K02000001,United Kingdom,overview,2021-01-24,3109,-10.7,38.2
K02000001,United Kingdom,overview,2021-01-23,3111,-9.1,39.1
K02000001,United Kingdom,overview,2021-01-22,3391,-6.8,40.4
